,encounter,is_cm,time,player,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,downed,cleanses,above90%,role,predicted_role,primary role,secondary role
2,Mursaat Overseer CM,TRUE,130,Morg.8143,8321,23.266,96.726,96.726,95.462,0.587,0,0,0,0,0,21356,0,0,100,2,leftover/trash/whatever,DPS,
4,Mursaat Overseer CM,TRUE,130,Styx.3278,29867,24.372,99.263,93.137,98.975,23.774,2.575,13.215,0,0,0,82097,0,0,96.9565217391304,0,dps,DPS,
5,Mursaat Overseer CM,TRUE,130,DARKstrider.7804,25676,24.411,99.116,99.539,99.165,82.299,0,21.373,0,0,0,90479,0,0,92.6829268292683,0,dps,DPS,
6,Mursaat Overseer CM,TRUE,130,GoGo.8725,27789,24.412,99.124,99.547,99.173,86.951,0,10.552,0,0,0,88931,0,0,99.4661921708185,0,dps,DPS,
8,Mursaat Overseer CM,TRUE,130,Arikashin.2675,22305,24.468,99.025,99.485,99.077,91.235,0,16.213,0,0,0,90386,0,3,99.0458015267176,0,dps,DPS,
0,Cairn CM,TRUE,95,Morg.8143,13342,15.578,98.379,49.453,61.32,42.609,0,0,0,0,0,92295,1,0,55.8823529411765,0,dps,DPS,
1,Cairn CM,TRUE,95,Styx.3278,26790,23.32,98.918,98.512,99.209,58.635,3.306,17.581,0,0,0,52648,0,0,81.7391304347826,0,dps,DPS,
3,Cairn CM,TRUE,95,yelle.7165,34155,24.19,98.918,96.228,99.209,57.373,0,18.763,0,0,0,36124,0,0,87.2255489021956,0,dps,DPS,
6,Cairn CM,TRUE,95,DARKstrider.7804,19709,23.677,99.713,99.064,96.913,87,0,18.818,0,0,0,66919,0,0,80.794701986755,0,dps,DPS,
7,Cairn CM,TRUE,95,GoGo.8725,29319,22.979,99.848,99.208,90.953,87.307,0,26.925,0,0,0,88470,0,0,81.4356435643564,0,dps,DPS,
8,Cairn CM,TRUE,95,Arikashin.2675,28218,23.956,99.848,99.208,94.449,87.308,0,11.885,0,0,0,56034,0,0,91.9463087248322,0,dps,DPS,
2,Soulless Horror CM,TRUE,166,yelle.7165,33281,22.423,98.093,86.552,97.566,92.633,0,14.895,0,0,0.903,194365,0,16,86.5654205607477,0,dps,DPS,
3,Soulless Horror CM,TRUE,166,Morg.8143,33866,22.814,96.949,87.752,96.347,80.196,0.236,0,0,0,0.301,215319,0,5,88.6021505376344,0,dps,DPS,
4,Soulless Horror CM,TRUE,166,Styx.3278,32302,23.948,98.378,88.277,98.036,91.728,0,14.469,0,0,0.584,196282,0,22,88.5342789598109,0,dps,DPS,
5,Soulless Horror CM,TRUE,166,DARKstrider.7804,23183,23.338,97.491,98.443,97.043,95.377,0.749,27.921,0,0,0.754,190872,0,1,87.1794871794872,0,dps,DPS,
8,Soulless Horror CM,TRUE,166,Arikashin.2675,29065,22.383,94.783,95.498,91,84.544,0,26.969,0,0,0.375,229337,1,31,86.9987849331713,0,dps,DPS,
2,Dhuum CM,TRUE,384,yelle.7165,16119,19.568,95.684,75.029,71.878,71.081,0,14.605,0,0,0,187117,1,0,90.282131661442,0,dps,DPS,
3,Dhuum CM,TRUE,384,Morg.8143,11751,15.243,86.407,54.352,42.546,69.612,0.189,0,0,0,0,250592,1,0,61.3157894736842,2,leftover/trash/whatever,DPS,
4,Dhuum CM,TRUE,384,Styx.3278,12739,17.54,95.055,68.382,44.81,59.39,0,14.234,0,0,0,224483,1,1,82.6649417852523,2,leftover/trash/whatever,DPS,
5,Dhuum CM,TRUE,384,DARKstrider.7804,12797,19.657,92.839,93.077,62.423,77.961,0.413,0,0,0,0,179121,0,2,61.7521367521367,2,leftover/trash/whatever,DPS,
6,Dhuum CM,TRUE,384,GoGo.8725,10651,18.808,94.796,82.974,58.201,80.521,2.219,0,0,0,0.768,145659,0,5,78.961038961039,2,leftover/trash/whatever,DPS,
8,Dhuum CM,TRUE,384,Arikashin.2675,12211,20.077,95.479,84.663,44.992,70.067,0,12.552,0,0,0,191583,1,2,81.6502463054187,2,leftover/trash/whatever,DPS,
1,Conjured Amalgamate CM,TRUE,147,yelle.7165,31097,23.293,99.022,92.328,100,64.303,0.051,20.291,0,0,0,10754,0,0,100,0,dps,DPS,
2,Conjured Amalgamate CM,TRUE,147,Morg.8143,37113,23.73,99.022,95.542,100,100,0.302,0,0,0,0,10740,0,0,100,0,dps,DPS,
3,Conjured Amalgamate CM,TRUE,147,Styx.3278,34064,23.705,99.022,98.731,100,62.029,0,0,0,0,11.337,17325,0,0,100,0,dps,DPS,
5,Conjured Amalgamate CM,TRUE,147,GoGo.8725,10600,22.745,94.89,99.911,92.786,85.455,0,0,0,0,6.352,53240,0,0,100,2,leftover/trash/whatever,DPS,
8,Conjured Amalgamate CM,TRUE,147,Arikashin.2675,28692,24.582,98.719,99.911,98.683,87.709,0,23.432,0,0,0,61427,0,0,87.0431893687708,0,dps,DPS,
9,Conjured Amalgamate CM,TRUE,147,DARKstrider.7804,27377,24.367,98.467,99.911,98.683,77.106,0,17.345,0,0,0,35055,0,2,94.7368421052632,0,dps,DPS,
10,Conjured Amalgamate CM,TRUE,147,Conjured Sword,25331,,,,,,0,0,0,0,0,0,0,0,100,0,dps,Heal,
1,Qadim CM,TRUE,404,yelle.7165,7408,19.414,90.169,76.967,84.117,62.397,0.047,16.944,0,0,0.782,183193,0,10,89.8333333333333,2,leftover/trash/whatever,DPS,
2,Qadim CM,TRUE,404,Styx.3278,6061,22.471,99.959,95.914,93.82,48.424,0.092,0,0,0,2.33,196200,1,2,90.3147699757869,2,leftover/trash/whatever,DPS,
3,Qadim CM,TRUE,404,Morg.8143,7624,21.732,100,90.249,95.746,73.599,0.192,0,0,0,0,277745,3,2,81.989247311828,2,leftover/trash/whatever,DPS,
6,Qadim CM,TRUE,404,GoGo.8725,7221,19.605,90.194,91.334,74.829,58.756,0,0,0,0,0.562,171562,0,1,99.3071593533487,2,leftover/trash/whatever,DPS,
9,Qadim CM,TRUE,404,Arikashin.2675,5752,17.635,94.551,75.136,83.202,57.158,0.048,9.955,0,0,0,156123,0,2,75.4098360655738,2,leftover/trash/whatever,DPS,
2,Cardinal Adina CM,TRUE,271,Morg.8143,13390,23.076,96.68,97.938,97.306,79.388,0,0,0,0,0,193595,0,0,94.4606413994169,0,dps,DPS,
3,Cardinal Adina CM,TRUE,271,yelle.7165,13052,23.12,97.42,94.766,96.973,62.706,0,19.047,0,0,0.184,214606,1,1,80.2690582959641,2,leftover/trash/whatever,DPS,
6,Cardinal Adina CM,TRUE,271,GoGo.8725,13901,23.42,97.351,95.499,92.327,68.335,0,19.539,0,0,0,206547,0,1,89.3915756630265,0,dps,DPS,
7,Cardinal Adina CM,TRUE,271,Arikashin.2675,2661,19.051,92.423,87.818,60.17,76.116,0,1.918,0,0,0,19380,0,3,97.0588235294118,2,leftover/trash/whatever,DPS,
8,Cardinal Adina CM,TRUE,271,DARKstrider.7804,11406,23.654,88.005,98.694,96.88,79.135,0.234,16.51,0,0,0,201299,1,1,83.6601307189543,2,leftover/trash/whatever,DPS,
1,Qadim the Peerless CM,TRUE,334,Morg.8143,0,20.855,96.601,97.006,81.232,33.011,0.418,0,0,0,0,155433,1,1,100,2,leftover/trash/whatever,DPS,
2,Qadim the Peerless CM,TRUE,334,Styx.3278,4,22.025,99.65,80.775,73.007,93.529,0.09,6.592,0,0,0,215546,1,0,86.6666666666667,2,leftover/trash/whatever,DPS,
3,Qadim the Peerless CM,TRUE,334,yelle.7165,0,21.074,97.532,89.434,81.894,39.925,0,13.131,0,0,0,115724,1,1,100,2,leftover/trash/whatever,DPS,
6,Qadim the Peerless CM,TRUE,334,Arikashin.2675,0,19.517,95.499,84.896,69.766,29.247,0,17.148,0,0,0,154497,1,1,0,2,leftover/trash/whatever,DPS,
7,Qadim the Peerless CM,TRUE,334,DARKstrider.7804,0,20.953,86.154,99.439,74.68,39.914,0.209,0,0,0,0,197239,0,0,0,2,leftover/trash/whatever,DPS,
9,Qadim the Peerless CM,TRUE,334,GoGo.8725,0,15.051,84.038,73.386,65.578,27.049,1.504,0,0,0,0,165891,0,8,0,2,leftover/trash/whatever,DPS,
1,Sabetha the Saboteur,FALSE,195,Styx.3278,23282,24.367,98.937,93.996,98.407,83.747,2.017,19.197,0,0,11.944,96308,0,0,90.0136798905609,0,dps,DPS,
3,Sabetha the Saboteur,FALSE,195,Morg.8143,20310,23.408,98.937,98.332,98.407,77.989,0.316,0,0,0,1.426,77242,1,3,90.3485254691689,0,dps,DPS,
4,Sabetha the Saboteur,FALSE,195,yelle.7165,24029,24.287,98.937,97.443,97.894,81.421,0,15.471,0,0,2.897,110944,0,18,94.0944881889764,0,dps,DPS,
6,Sabetha the Saboteur,FALSE,195,GoGo.8725,16392,24.19,98.407,99.739,85.382,87.58,0,0,0,0,5.567,142630,0,1,87.037037037037,0,dps,DPS,
7,Sabetha the Saboteur,FALSE,195,Arikashin.2675,21903,24.341,98.937,99.59,97.697,81.085,0,24.539,0,0,4.41,103628,0,12,87.1559633027523,0,dps,DPS,
8,Sabetha the Saboteur,FALSE,195,DARKstrider.7804,17432,24.306,98.407,99.592,95.725,85.038,1.059,23.056,0,0,0,82060,0,1,83.1615120274914,0,dps,DPS,
1,Cardinal Sabir CM,TRUE,235,Morg.8143,15869,24.167,99.61,97.233,90.926,84.404,0.639,0,0,0,0,206163,1,3,79.1946308724832,0,dps,DPS,
3,Cardinal Sabir CM,TRUE,235,yelle.7165,18535,24.385,99.61,98.341,97.896,84.769,0,18.431,0,0,0.211,188597,1,2,88.8392857142857,0,dps,DPS,
5,Cardinal Sabir CM,TRUE,235,DARKstrider.7804,13058,23.815,98.308,97.698,96.612,92.77,1.242,15.534,0,0,0,203034,0,0,75.5287009063444,2,leftover/trash/whatever,DPS,
8,Cardinal Sabir CM,TRUE,235,GoGo.8725,19330,23.851,98.373,97.698,97.746,92.251,0,19.583,0,0,1.5,250232,1,2,76.5227021040974,0,dps,DPS,
9,Cardinal Sabir CM,TRUE,235,Arikashin.2675,15874,23.169,98.373,95.952,85.679,68.354,0,21.267,0,0,1.385,209735,0,1,69.1292875989446,0,dps,DPS,
1,Twin Largos CM,TRUE,269,yelle.7165,15168,23.311,99.362,87.698,99.427,51.113,0,16.997,0,0,0,244726,0,8,80.3571428571429,0,dps,DPS,Tank
2,Twin Largos CM,TRUE,269,Styx.3278,14236,23.948,99.362,94.801,99.427,52.85,0,22.037,0,0,0,246066,0,8,90.962962962963,0,dps,DPS,
3,Twin Largos CM,TRUE,269,Morg.8143,12776,20.006,99.362,82.607,94.086,50.222,0.656,0,0,0,0,231458,0,1,68.0555555555556,2,leftover/trash/whatever,DPS,
7,Twin Largos CM,TRUE,269,Arikashin.2675,4163,24.07,97.087,97.845,92.092,79.289,0,22.924,0,0,0,211922,0,2,81.1715481171548,2,leftover/trash/whatever,DPS,
9,Twin Largos CM,TRUE,269,DARKstrider.7804,4283,24.281,90.686,98.127,92.16,92.132,0,20.309,0,0,0,186419,0,6,96.6101694915254,2,leftover/trash/whatever,DPS,
1,Sabetha the Saboteur,FALSE,197,yelle.7165,22936,24.116,98.627,99.169,97.407,57.41,0,29.309,0,0,0,135871,0,17,82.6612903225806,0,dps,DPS,
2,Sabetha the Saboteur,FALSE,197,Morg.8143,17696,24.153,98.627,99.505,98.217,91.84,0.095,0,0,0,0,179019,0,0,73.0878186968839,0,dps,DPS,
3,Sabetha the Saboteur,FALSE,197,Tarasicodissa.7084,15485,22.371,98.023,97.497,97.722,44.296,4.471,0,0,0,0,121389,0,31,76.948051948052,0,dps,DPS,
5,Sabetha the Saboteur,FALSE,197,Arikashin.2675,19401,23.946,97.318,98.459,96.161,90.589,0,30.244,0,0,0,178062,1,12,75.5960729312763,0,dps,DPS,
7,Sabetha the Saboteur,FALSE,197,Pelda.1896,24235,24.577,98.627,99.978,98.47,94.398,0,0,0,0,0,187323,1,3,68.8679245283019,0,dps,DPS,
9,Sabetha the Saboteur,FALSE,197,GoGo.8725,19021,23.901,93.744,98.871,96.833,92.596,0,0,0,0,0,179911,0,4,76.1780104712042,0,dps,DPS,
0,Gorseval the Multifarious,FALSE,132,yelle.7165,19275,24.14,99.734,98.788,99.521,66.585,0,33.544,0,0,0,114530,0,3,79.2873051224944,0,dps,DPS,
2,Gorseval the Multifarious,FALSE,132,Morg.8143,22004,23.607,99.734,95.09,98.071,98.071,0.241,0,0,0,0,82460,0,0,81.5068493150685,0,dps,DPS,
3,Gorseval the Multifarious,FALSE,132,Tarasicodissa.7084,17423,23.779,99.734,98.672,99.303,61.886,5.477,0,0,0,0,78704,0,3,91.0569105691057,0,dps,DPS,
5,Gorseval the Multifarious,FALSE,132,Arikashin.2675,16002,24.458,94.021,98.309,99.303,77.448,0,30.626,0,0,0,120394,0,5,76.6146993318486,0,dps,DPS,
7,Gorseval the Multifarious,FALSE,132,Pelda.1896,24800,24.64,98.643,98.309,99.304,93.623,0,0,0,0,0,78507,0,0,86.9565217391304,0,dps,DPS,
9,Gorseval the Multifarious,FALSE,132,GoGo.8725,17749,24.308,88.683,97.558,93.715,86.671,0,0,0,0,0,75391,0,1,77.3584905660377,0,dps,DPS,
1,Vale Guardian,FALSE,158,yelle.7165,15046,21.04,99.435,79.92,90.038,81.82,0,31.182,0,0,0,184990,1,0,95.6521739130435,0,dps,DPS,
2,Vale Guardian,FALSE,158,Morg.8143,14493,20.549,98.272,74.076,96.85,81.616,0.176,0,0,0,0,176849,1,0,69.5652173913043,0,dps,DPS,
3,Vale Guardian,FALSE,158,Tarasicodissa.7084,18041,23.647,99.031,94.007,98.453,88.415,0.004,0,0,0,0,142205,0,0,98.00796812749,0,dps,DPS,
5,Vale Guardian,FALSE,158,Arikashin.2675,13238,24.006,98.731,99.83,98.898,93.787,0,22.843,0,0,0,167467,1,1,86.9806094182826,0,dps,DPS,
7,Vale Guardian,FALSE,158,Pelda.1896,22419,24.519,99.707,99.233,98.901,98.521,0,0,0,0,0,148644,0,0,89.6713615023474,0,dps,DPS,
9,Vale Guardian,FALSE,158,GoGo.8725,16160,23.383,98.73,99.831,98.902,98.522,0,0,0,0,0,146868,0,0,97.2602739726027,0,dps,DPS,
1,Matthias Gabrel,FALSE,193,Morg.8143,17374,21.963,85.047,87.377,98.202,83.358,0,0,0,0,0,166270,1,7,79.0281329923274,0,dps,DPS,
3,Matthias Gabrel,FALSE,193,yelle.7165,17900,22.273,98.452,90.526,92.147,87.897,0,26.267,0,0,0,209074,1,22,79.7590361445783,0,dps,DPS,
6,Matthias Gabrel,FALSE,193,Arikashin.2675,12753,20.246,84.096,83.235,69.16,78.901,0,20.51,0,0,0,185373,1,6,68.0351906158358,2,leftover/trash/whatever,DPS,Swords
8,Matthias Gabrel,FALSE,193,Pelda.1896,17852,23.931,96.957,96.585,97.978,91.587,1.451,0,0,0,0,218846,1,1,68.6147186147186,0,dps,DPS,
1,Slothasor,FALSE,134,Tarasicodissa.7084,16401,22.533,95.743,96.041,95.471,89.061,0.24,0,0,0,0,144359,0,0,68.4659090909091,0,dps,DPS,
2,Slothasor,FALSE,134,Morg.8143,18605,18.182,94.139,95.143,82.926,85.708,0.448,0,0,0,0,152985,1,5,66.824644549763,0,dps,DPS,
4,Slothasor,FALSE,134,yelle.7165,19452,23.433,97.711,96.512,99.499,70.192,0,35.585,0,0,0,129425,0,10,84.3949044585987,0,dps,DPS,
6,Slothasor,FALSE,134,GoGo.8725,15853,23.161,91.782,94.973,94.717,95.273,0,0,0,0,0,133215,0,6,96.1904761904762,0,dps,DPS,
8,Slothasor,FALSE,134,Pelda.1896,22666,24.136,97.435,97.435,98.424,98.091,0,0,0,0,7.436,127857,0,8,78.134110787172,0,dps,DPS,
9,Slothasor,FALSE,134,Arikashin.2675,11150,20.547,77.941,68.093,87.174,90.825,0,24.356,0,0,0,181922,1,7,86.7735470941884,2,leftover/trash/whatever,DPS,
2,Xera,FALSE,287,yelle.7165,0,14.251,87.174,55.741,71.737,38.488,0,17.262,0,0,0,53850,0,22,0,2,leftover/trash/whatever,DPS,
3,Xera,FALSE,287,Morg.8143,0,16.214,89.055,52.892,75.888,43.842,0.1,0,0,0,0,18492,0,2,0,2,leftover/trash/whatever,DPS,
4,Xera,FALSE,287,Tarasicodissa.7084,50,14.957,93.778,58.929,71.097,44.912,0,17.757,0,0,0,37145,0,5,100,2,leftover/trash/whatever,DPS,
5,Xera,FALSE,287,Pelda.1896,26,23.32,92.567,95.582,94.193,92.611,0,0,0,0,10.339,51318,0,24,100,2,leftover/trash/whatever,DPS,
6,Xera,FALSE,287,GoGo.8725,118,22.201,78.794,95.582,84.96,83.622,0,0,0,0,0,38439,0,1,100,2,leftover/trash/whatever,DPS,
8,Xera,FALSE,287,Arikashin.2675,0,20.425,88.979,95.582,80.476,83.735,0.04,16.435,0,0,0,66300,0,5,0,2,leftover/trash/whatever,DPS,
1,Keep Construct CM,TRUE,289,yelle.7165,21516,16.865,99.001,83.239,85.28,51.627,0,22.03,0,0,0,255575,2,13,77.0984455958549,0,dps,DPS,
2,Keep Construct CM,TRUE,289,Morg.8143,22784,19.073,99.141,93.032,90.347,77.593,0.321,0,0,0,0,239079,0,0,81.5195071868583,0,dps,DPS,
4,Keep Construct CM,TRUE,289,Tarasicodissa.7084,21434,17.565,99.001,96.313,95.903,71.293,0,22.222,0,0,0,208340,0,4,87.0175438596491,0,dps,DPS,
5,Keep Construct CM,TRUE,289,GoGo.8725,19884,22.981,92.651,99.365,95.597,92.68,0,0,0,0,0,185549,0,2,76.3461538461538,0,dps,DPS,
7,Keep Construct CM,TRUE,289,Pelda.1896,31670,24.545,98.947,99.365,99.171,97.923,0,0,0,0,15.634,223628,0,4,91.68,0,dps,DPS,
8,Keep Construct CM,TRUE,289,Arikashin.2675,22691,22.051,98.947,99.365,99.17,98.596,0,27.549,0,0,0,191764,0,0,86.5466101694915,0,dps,DPS,
0,Deimos CM,TRUE,310,Morg.8143,467,19.058,93.601,88.47,87.918,48.083,0.181,0,0,0,0,359442,1,3,100,2,leftover/trash/whatever,DPS,
2,Deimos CM,TRUE,310,Tarasicodissa.7084,0,17.892,96.221,94.158,90.972,44.122,3.108,0,0,0,0,195328,0,2,0,2,leftover/trash/whatever,DPS,
4,Deimos CM,TRUE,310,yelle.7165,286,18.71,95.613,85.748,85.04,13.87,0,19.436,0,0,0.483,223247,0,3,100,2,leftover/trash/whatever,DPS,
6,Deimos CM,TRUE,310,Pelda.1896,13,21.416,98.8,97.473,92.271,75.205,4.579,0,0,0,0,170145,0,4,100,2,leftover/trash/whatever,DPS,
7,Deimos CM,TRUE,310,GoGo.8725,0,15.792,98.649,82.301,59.557,58.634,0,12.927,0,0,0.176,181064,1,3,0,2,leftover/trash/whatever,DPS,
8,Deimos CM,TRUE,310,Arikashin.2675,0,17.956,98.8,98.117,67.192,55.07,0.094,13.425,0,0,0,230160,3,0,0,2,leftover/trash/whatever,DPS,
10,Deimos CM,TRUE,310,Shackled Prisoner,0,,,,,,0,0,0,0,0,185303,0,0,0,2,leftover/trash/whatever,Heal,
11,Deimos CM,TRUE,310,Saul D'Alessio,0,,6.782,5.096,,,0,0,0,0,0,361,0,0,0,2,leftover/trash/whatever,Heal,
1,Samarog CM,TRUE,395,Morg.8143,12673,20.631,99.6,68.188,89.174,90.279,0.301,0,0,0,0,357478,3,1,85.8974358974359,2,leftover/trash/whatever,DPS,
3,Samarog CM,TRUE,395,Tarasicodissa.7084,11945,19.924,99.6,72.794,81.48,75.854,0,18.05,0,0,0,259970,2,3,92.570281124498,2,leftover/trash/whatever,DPS,
4,Samarog CM,TRUE,395,yelle.7165,13067,19.324,99.6,64.778,82.071,73.986,0,20.174,0,0,0,335398,3,1,93.9237899073121,2,leftover/trash/whatever,DPS,
